Serious,Age,DebtRatio,MonthlyIncome,NumberOfLoans,NumberOfRealEstateLoans,NumberOfDependents
0,56,0.438912218,5000,7,2,0
0,55,0.47090194,15000,12,2,3
0,64,0.332016389,6833,14,2,0
0,53,0.536703799,3500,7,1,0
0,49,2932,NA,11,1,0
0,55,0.156259612,3250,5,0,4
0,80,0.016196761,5000,9,0,0
1,38,74.5,1,13,0,2
0,44,0.224465502,21000,5,1,3
0,40,0.119660709,3300,7,0,0
0,35,103,NA,6,0,0
0,69,0.308438695,3400,9,1,0
0,64,0.181311286,5200,4,1,0
0,61,0.269281443,9866,12,2,2
0,46,0.166215372,4800,6,1,4
0,49,0.429533892,7272,11,2,0
0,64,0.17386957,9000,8,1,0
0,40,0.443755624,10000,12,5,2
0,27,0.024340075,5833,4,0,0
0,60,1253,NA,8,1,1
0,92,0.034326669,2650,13,0,0
0,50,0.420180551,8750,8,2,0
0,64,2826,NA,14,2,0
0,66,0.358101135,1937,4,0,0
0,53,0.183464028,19000,8,1,2
0,62,0.04965839,6000,1,0,0
1,63,5223,NA,19,2,0
0,50,1208,NA,4,1,0
0,61,0.031349387,2200,12,0,0
0,42,800,1,3,1,2
0,63,0.332698534,5250,4,2,0
0,73,0.135589153,4166,12,1,0
0,72,0.04578345,7600,3,1,0
0,52,0.700153374,5215,15,2,0
0,45,0.376836435,8167,4,1,2
0,44,0.296854804,6962,11,1,0
0,63,0.701766078,6001,19,2,0
0,37,0.322446259,6000,7,1,0
1,38,0.153500141,3556,5,0,2
0,36,0.56071964,2000,7,1,1
0,41,0.436025621,6400,5,1,2
0,63,0.262773723,10000,8,1,0
0,76,0.002465931,7704,3,0,0
0,43,0.537485582,2600,10,1,0
0,64,0.588073078,2900,6,1,0
0,67,0.460246187,12916,9,2,0
0,52,0.353860086,4416,12,0,1
0,66,3730,NA,8,1,0
0,55,0.476704659,5000,3,2,0
0,42,0.578676723,5833,17,2,2
0,28,0,NA,0,0,NA
0,47,0.283765445,14000,6,2,1
1,61,0.209961825,5500,11,0,1
0,73,0.000285687,10500,10,0,0
0,58,2825,NA,10,2,0
0,68,0.040493251,6000,0,0,0
0,41,0.20364404,9000,3,1,0
0,44,0.14041952,9200,15,1,0
0,42,0.458551158,6694,26,2,4
0,40,0.359964004,10000,20,2,2
0,78,0.008886914,4500,12,0,0
0,81,0.165566887,3333,4,0,0
0,49,0.257017809,6625,9,2,0
1,58,0.151956584,3500,12,0,0
0,54,0.092913547,9750,8,1,2
0,33,0.058322869,7166,6,0,0
0,53,0.266909775,8500,9,1,5
0,23,0,1725,1,0,0
0,49,0.123125125,15000,7,0,1
0,44,0.278077082,4825,4,1,2
0,63,0.007988922,9387,9,0,0
0,42,86,NA,5,0,0
0,65,0.125189985,12500,4,1,1
0,54,1612,NA,6,1,0
0,28,0.037259615,4991,5,0,0
0,78,392,NA,6,1,NA
0,66,1.117952819,2500,12,1,0
0,32,0.264078812,6800,6,0,2
0,43,0.009691169,208333,11,1,1
0,59,0.637607437,5700,13,2,1
0,76,0.267149259,2900,9,0,0
0,68,0.094140517,3600,6,1,0
0,61,0.529548989,1285,3,1,0
0,68,0.175139978,4464,12,1,1
0,57,0.130453416,11666,17,1,1
0,68,0.445277361,4668,10,1,2
0,57,0.205927884,26484,11,2,3
1,46,0.637749121,1705,5,0,0
0,69,0.389895596,8332,3,1,0
0,44,0.326383681,6666,4,2,1
0,28,0.139429485,3750,8,0,0
0,53,0.595653913,7500,16,1,1
0,40,0.178184282,8855,9,1,0
0,36,0.554878049,5411,10,2,1
0,42,0.272721679,16250,11,1,1
0,64,0.307576329,2652,6,1,0
0,57,5439,NA,16,3,NA
0,62,0.262879153,16615,11,1,1
0,47,0.092163472,9493,2,0,0
0,62,0,5480,3,0,0
0,49,0.347930414,5000,11,2,3
0,66,0.28446242,8900,9,1,0
0,54,0.705627706,5081,10,2,2
0,56,942,NA,9,1,1
0,83,0.689589756,4216,6,2,0
0,45,0.339332853,8333,7,2,2
0,29,0.53628857,2300,9,1,3
0,67,0.083799311,13054,13,1,0
0,29,0.24651504,2725,5,0,0
0,46,0.282830201,15800,14,2,4
0,25,1005,0,5,0,0
0,68,0.787803049,4000,8,2,0
0,33,0.537441339,4900,3,1,1
0,55,0.03988553,5590,8,0,0
0,46,0.271186441,6666,10,1,3
0,66,0.046633911,11600,2,0,1
0,66,0.391427671,3172,8,1,0
0,48,0.075848303,500,1,0,0
0,52,0.408871921,11000,11,1,4
0,32,0.166766647,6667,5,0,0
0,51,0.066830086,7750,14,0,2
0,27,0.144948404,4166,5,0,0
0,32,0.463610776,7460,10,1,0
0,30,0.136575616,1500,5,0,0
0,37,0.329935275,6179,6,1,3
0,49,0.042836573,8333,10,0,1
0,37,0.184027338,7900,5,1,5
0,36,0.632794037,5500,10,2,0
0,62,0.406053995,3666,15,1,0
0,57,0.043744532,8000,3,0,1
0,59,0,4200,7,0,1
0,38,0.472542946,3550,8,0,4
0,92,10,NA,3,0,0
0,58,3976,NA,13,3,0
0,37,0.288477299,6100,16,1,0
0,63,0.750200803,1244,9,0,0
0,32,1.247340213,12500,12,8,0
0,52,0.483518065,6946,15,2,1
0,43,4211,0,21,2,2
0,29,0.168340507,2090,3,0,0
0,45,0.318890815,7500,9,1,2
0,38,0.712458746,2423,6,1,1
0,62,0.249471161,7090,15,0,0
0,29,0,NA,0,0,0
0,41,0.408706353,6500,9,1,2
0,29,0.193935355,3000,7,0,0
1,47,0.03975841,25000,11,1,3
0,55,0.388320836,4400,4,2,1
0,87,0.001534331,5213,4,0,0
0,41,0.199761673,9230,7,1,0
0,61,1.394967177,913,11,2,0
0,28,0.189702574,4000,6,0,1
0,43,0.572292191,1984,9,0,4
0,71,0.426412462,4300,8,2,1
0,46,0.072914726,16100,6,1,2
0,30,0.090341011,5600,1,0,0
1,43,0.461323764,7523,6,1,1
0,59,0.381254316,15928,17,1,1
0,47,773,NA,2,1,1
0,61,542,NA,15,0,0
0,72,0.356679286,3697,6,1,0
0,50,0.45722203,5773,9,1,1
1,68,0.218071277,25000,27,3,0
0,58,8380,NA,20,5,0
0,69,0.193935355,3000,10,0,0
0,71,151,NA,5,0,0
1,48,2073,NA,5,2,0
0,37,0.184625639,4500,2,0,1
0,50,2720,NA,7,1,2
0,38,0.563328034,1886,3,1,0
0,35,3388,NA,1,1,0
0,59,0.033982276,14330,12,1,0
0,67,0.119463561,5666,9,0,0
0,30,0.698120752,2500,7,2,2
0,56,0.170164956,19580,12,1,1
0,51,0.333583302,8000,16,2,2
0,40,3878,NA,10,2,0
0,28,0.467171717,1187,4,0,0
0,54,0.017655818,4700,7,0,2
0,46,4480,NA,6,2,0
0,57,6381,NA,5,2,0
0,35,0.314566116,3871,8,2,3
0,79,0.009596162,2500,11,0,0
0,46,0.267146571,5000,6,2,3
0,79,1063,NA,7,1,0
0,64,0.214426305,8636,29,1,1
0,74,0.164917541,2000,3,0,0
0,64,0.101514142,10500,20,1,0
0,63,0.387956894,9000,6,2,0
1,63,0.285156885,6150,12,0,1
0,54,0.655589124,3640,7,1,1
0,63,0.278226307,8050,13,2,3
0,45,0.290229092,14491,13,1,3
0,22,130,NA,0,0,NA
0,66,870,NA,12,0,NA
0,57,0.13080895,5228,10,0,0
0,43,0.10821382,2300,6,0,1
0,61,0.008549573,20000,8,0,0
0,54,2028,NA,13,1,1
0,90,876,NA,11,1,0
0,60,2.086478612,7550,26,0,0
0,34,0.007495315,3201,3,0,0
0,38,34,NA,2,0,0
0,60,0,4200,0,0,0
0,76,0.285452994,8200,12,0,0
0,76,0.070513488,9600,7,0,2
0,39,0.188281635,10154,6,1,2
0,83,0,NA,4,0,0
0,63,0.582162622,4697,8,2,1
0,52,0.414081023,9700,10,2,0
1,58,668,NA,5,0,0
0,42,0.113421853,6250,3,0,2
0,63,926.5,1,9,1,0
0,58,0.115826132,7752,17,0,2
0,62,0.073772011,5394,5,0,0
0,46,1.206516118,5800,12,4,2
0,27,0.000268637,7444,5,0,0
0,27,0.352214765,3724,4,1,1
0,35,0.092985318,3064,1,0,3
0,55,0.437996083,9700,18,2,0
0,73,0.043259135,16666,13,0,0
0,51,0.492529978,10173,19,4,0
0,36,0.344879921,11200,6,2,2
0,56,0.259102536,31666,8,3,1
0,59,2113,NA,13,2,NA
0,49,1599,NA,12,1,0
0,64,0.255290785,6000,6,0,1
0,56,0.131430952,4800,11,1,0
0,37,0.045366363,6700,5,0,0
0,48,1.299736021,4166,17,1,1
0,36,0.334245422,4750,5,1,0
0,70,724,NA,11,1,0
1,49,0.369223765,8785,20,2,2
0,57,2221.5,1,12,2,0
0,39,0.644706486,3900,14,1,1
1,61,1.2979007,3000,11,3,1
0,38,0.41627543,5750,6,1,2
0,24,0.035803497,1200,3,0,0
0,33,1786,NA,3,1,0
0,73,0.386728192,4550,18,0,0
0,79,0.130140954,5178,6,1,0
0,81,0.000822143,3648,1,0,1
0,55,0.725137431,2000,7,2,0
0,57,0.16069592,11667,6,1,2
0,58,0.518991188,3290,10,1,1
0,52,0.003278689,2439,4,0,0
0,51,0.446688128,10250,9,1,2
0,63,0.41905226,8208,22,2,0
0,97,3,NA,2,0,NA
0,56,13,NA,2,0,0
0,41,0.686736475,4583,8,3,0
0,43,0.603763294,3666,9,1,2
0,56,1348,NA,3,1,0
0,59,862,NA,2,1,0
0,40,0.207789429,9345,7,0,0
0,74,0.306409131,3416,9,1,0
0,49,0.358153388,9400,18,2,0
0,68,0.209965006,6000,28,1,0
0,57,0.785229953,6783,8,3,0
0,48,0.179979778,8900,10,1,6
0,40,0.19170579,3833,3,0,2
0,23,0,3500,1,0,1
0,52,0.013543599,5389,7,0,2
0,48,2045,NA,3,1,0
0,55,0.454057468,3166,5,2,0
0,61,0.671076012,5064,19,3,0
0,33,0.114004783,3762,7,0,0
0,69,0.065493451,10000,5,1,0
0,39,0.432010059,5566,7,1,0
0,84,0.00912845,4600,6,0,0
0,32,0.095584668,2060,1,0,0
0,78,726,NA,8,1,NA
0,61,0.229436075,7500,23,2,2
0,37,0.177007047,7236,5,1,3
0,33,0.257707218,5416,2,1,1
0,81,0.145685279,3939,13,0,0
0,60,0.566105156,3917,14,1,2
0,46,0.394460554,10000,15,2,3
0,57,0.053530226,6500,19,0,0
0,57,0.130309575,8333,8,1,0
1,32,0.006731051,3416,1,0,3
1,42,0.594224361,2700,8,0,0
0,38,0.384761524,10000,9,2,0
0,82,0.176964607,5000,3,1,0
0,33,0.216405216,5290,9,0,0
0,68,0.168767792,4917,4,1,0
0,52,0.280494456,5500,6,1,2
0,46,0.041583367,2500,1,0,1
0,66,90,NA,4,0,0
0,57,0.558762411,4330,4,1,0
0,50,0.399106478,9400,15,4,0
0,34,0.034395414,7500,3,0,0
0,53,0.52409692,11266,17,2,3
0,76,0.374304267,4311,7,1,0
0,64,0.186225718,6228,5,1,0
0,72,0.020763907,3900,8,0,0
0,48,0.478090767,7667,17,2,0
0,71,0.4925,6399,14,2,1
0,59,929,NA,11,1,2
0,53,1.114622389,5600,14,1,1
0,34,997,NA,4,0,NA
0,51,0.086269282,5250,11,0,0
0,55,0.412779302,2550,11,0,0
0,46,0.254661625,7668,10,1,3
0,27,0.229139073,2264,5,0,0
0,43,0.44723563,9115,4,2,0
0,75,0.205971968,1640,4,0,1
0,31,0.068227425,4484,6,0,1
0,43,0.384074741,11666,9,5,0
0,51,0.532754538,3800,13,2,0
0,28,0.057990335,6000,8,0,0
0,51,0.09963548,6583,5,0,0
0,55,0.467850417,7433,11,2,0
0,69,0.016683267,4015,2,0,0
0,42,0.533099636,7416,5,1,3
0,33,0.660528423,2497,9,1,0
0,60,0.023181455,1250,4,0,1
1,54,0.228402866,2372,2,0,0
0,48,0.262848568,7996,7,1,3
0,49,0.067629397,6993,5,0,1
0,73,8500,0,2,0,0
0,91,0,NA,3,0,NA
0,66,0.195074372,4100,7,0,0
0,49,0.568886223,5000,15,2,0
0,46,0.278025952,4700,10,1,1
1,37,1.620344914,4000,16,3,1
0,54,2126,NA,8,1,0
0,22,0.347066167,800,4,0,0
0,31,0.162635688,5250,10,0,0
0,39,0.450171821,3200,8,1,0
0,56,7,NA,1,0,0
0,44,0.4825614,8916,17,2,1
1,50,0.297139683,3600,8,1,1
0,55,0.001785714,5599,3,0,2
0,52,0.207274054,8220,5,1,3
0,58,0.287187752,6204,19,1,0
0,62,0.044762033,7416,5,0,0
0,42,0.230261579,8333,6,1,4
0,47,1215,NA,4,1,NA
0,42,0.790613718,3600,18,2,1
1,39,0.055984556,9841,9,0,2
0,45,0.724784402,8000,11,2,0
0,82,0,NA,3,0,0
0,64,3819,NA,3,2,NA
0,55,0.127071823,1266,5,0,0
0,58,0.498488489,12900,12,1,2
0,35,0.300839136,5600,8,2,1
0,62,7963,NA,7,2,3
1,52,0.524949909,10480,11,3,1
0,40,887,0,8,1,1
0,57,2301,NA,17,2,0
0,45,0.4842141,8836,10,1,1
0,27,0.881825173,3900,6,1,1
0,24,499,NA,4,0,NA
0,37,0.674399608,6120,9,1,0
0,36,0.437743191,3597,16,2,2
0,40,0.423251505,10794,9,2,2
0,86,2,NA,9,0,0
0,56,87,NA,11,0,0
0,59,0.53418212,3612,9,2,0
0,40,0.60616581,7200,6,3,0
0,49,0.030774358,9000,3,0,0
0,66,0.351891786,5100,10,1,0
0,63,0.200843235,5217,5,1,4
0,45,461,NA,2,0,0
0,30,0,4700,1,0,1
0,36,0.785404865,3000,10,1,1
0,39,677,NA,4,0,2
0,27,0,4500,5,0,0
0,44,0.747375437,6000,8,3,2
0,34,3,NA,2,0,0
0,59,0.388566694,3620,8,1,1
0,38,0.08951092,3250,4,0,3
0,38,0.024885359,70000,6,1,2
0,39,1314,NA,5,2,0
0,43,0.353883732,10234,8,1,0
0,57,3169,NA,16,1,3
0,75,0.527431421,801,4,1,0
0,29,0.338531127,8400,10,1,0
0,55,0.324741695,9000,10,2,0
0,60,0.293637575,6003,11,1,0
0,37,0.437717467,1436,5,0,1
0,69,0.064119265,6908,7,1,0
0,48,0.480393478,7420,10,2,0
1,89,0.549380248,2500,9,0,0
0,56,0.197624587,8166,10,1,0
0,75,0.0013269,8289,5,0,0
0,55,0.138721351,4144,1,0,0
0,63,1.308922769,4000,16,1,0
0,49,562,NA,10,1,NA
0,31,0.236980252,12000,10,0,1
0,61,0.368063194,10000,10,1,1
0,46,0.348057208,7900,12,1,2
0,40,0.185755935,2400,1,0,0
0,91,0.184123484,1813,6,0,0
0,46,2568,NA,5,0,0
0,56,0.336831584,2000,5,1,0
0,29,0.260170076,4350,8,1,1
0,45,0.373940678,3775,5,1,3
0,49,0.098937721,4800,1,0,4
0,64,556,NA,3,1,NA
0,51,0.238076192,10000,6,1,0
0,45,1021,NA,5,0,NA
0,78,0.024303074,5595,9,0,0
0,36,0.240143984,5833,6,2,1
0,54,0.3539428,6048,9,1,1
0,67,0.349026844,16800,14,5,0
0,63,0.102800764,6283,4,0,1
1,61,0.572590321,7500,20,2,0
0,86,0.010791367,2223,6,0,0
0,50,0.454103343,3289,6,1,1
1,51,0.350874186,5833,12,1,1
0,70,0.187762448,5000,11,1,0
0,44,0.607594937,1500,7,0,3
0,39,0.306101912,10930,17,0,1
0,49,0.201025979,33333,6,3,4
0,58,1.908629442,6500,17,5,0
0,39,723,0,13,0,2
0,33,0.158975542,4333,7,0,1
0,53,0.513602495,5770,10,2,1
0,36,0.175266904,2247,4,0,1
0,62,0.566894457,6584,15,2,0
0,62,0.002301937,5212,4,0,0
0,29,0.263516583,2200,6,0,0
0,44,0.2138395,2080,13,0,0
0,32,0.444956049,7166,11,2,0
0,52,0.444444444,3500,5,2,1
0,69,73,NA,2,0,NA
0,71,1468,NA,3,1,NA
0,63,0.506873282,4000,10,2,1
0,44,0.258576628,12912,26,0,0
0,54,1.383017398,3850,18,2,2
0,41,0.266876688,6665,8,0,1
0,32,0.191649336,6250,10,0,2
0,87,0.571428571,1700,23,0,0
0,43,0.157212981,7333,5,1,0
0,47,0.020146833,5856,1,0,3
0,75,0.145703611,16059,8,1,0
0,64,0.480082158,18500,19,3,1
0,41,1.432686655,1700,13,3,2
0,30,1581,NA,6,1,0
0,40,2866,0,2,2,0
0,56,0,6200,2,0,0
0,55,0.489714904,5541,6,1,0
0,36,0.297372704,4300,8,1,1
0,57,0.404799866,11916,13,3,0
0,56,0.238127698,4400,13,1,1
0,49,0.183736947,4500,18,0,2
0,53,79,0,4,0,0
0,51,0.295480067,7123,12,1,0
0,64,0.24496788,2334,13,1,0
0,28,0.179975176,2416,7,0,0
0,54,4659,NA,5,2,0
0,53,2719,NA,5,1,0
1,37,0.337622356,12667,16,2,3
0,70,4294,NA,16,5,0
0,48,5368,NA,13,2,0
0,52,0.258589038,3812,6,1,1
0,36,0.08037225,1181,2,0,0
0,51,0.23358954,11318,5,1,2
0,69,0.156614462,3000,6,0,0
0,52,10.80049875,400,8,1,2
0,67,84,NA,7,0,NA
0,36,0.370418677,7666,4,1,2
0,49,0.62273579,1600,10,1,1
1,51,0.160317928,16984,13,2,4
1,36,0.558320373,4500,9,3,0
0,33,0.238212526,2841,9,0,0
0,62,0.162891787,8741,15,1,0
0,69,0.162186181,4500,10,0,1
0,70,1514,NA,9,2,0
0,49,0.093522183,4800,7,0,2
0,46,1434,NA,6,1,0
0,65,0.416379181,6666,10,1,0
0,56,0.219974716,8700,8,0,1
0,51,2092,NA,11,0,2
0,57,0.360879707,3000,15,0,0
0,48,0.367553674,6613,10,1,1
0,47,0.645104381,3400,6,1,2
1,33,0.175120326,2700,3,0,0
0,75,8,NA,2,0,0
0,40,0.361421689,11000,18,1,2
0,40,0.517037339,4900,7,1,1
0,68,0.009831695,6000,12,0,0
0,35,0.305839582,4400,10,0,2
0,65,0.325335893,2083,6,0,0
0,81,0.017260735,7125,7,0,0
0,52,0.39095856,7166,7,1,0
0,69,0.009690817,6500,4,0,1
0,34,3300,NA,5,2,0
0,40,0.448326668,9501,15,2,1
0,35,0.662152897,5833,10,2,2
0,80,0.008908281,11000,3,0,0
0,68,48,NA,6,0,0
0,47,0.149077983,4500,9,0,0
0,64,0.028599606,6083,16,0,0
1,36,0.361340457,4117,4,0,1
0,49,0.166452387,11666,17,0,3
0,55,0.115171335,7032,8,1,0
0,35,0.335733141,8333,6,2,2
0,63,0.035418452,3500,5,0,0
0,64,0.513540291,9083,16,3,0
0,64,0.037871034,2930,7,0,2
0,26,0.017052375,820,1,0,0
0,77,0.457930642,7035,21,1,1
0,32,0.177955511,4000,1,0,0
0,54,3.874422899,1082,22,1,0
0,40,0.263151915,8800,17,3,4
0,53,2958,NA,9,1,2
1,58,0.27112148,6000,8,1,1
0,50,0.207518671,11916,4,1,0
0,56,0.00711943,12500,2,0,2
0,75,0.199949219,7876,11,2,0
0,36,0.232918082,2648,5,0,3
0,33,0.182363527,3333,13,0,0
0,52,0.442592901,6000,13,1,2
0,62,0.427674963,9401,9,4,0
0,60,1.012368584,3233,13,2,0
0,52,0.262440354,4400,5,0,0
0,36,0.441868921,11000,8,2,0
0,71,0.190062303,13000,7,1,0
0,83,0.00019996,5000,10,0,0
0,76,272,0,6,0,0
0,40,0.090355422,11000,12,0,3
0,46,0.585122242,6707,21,1,3
0,78,605,NA,5,0,0
0,36,631,NA,1,1,0
0,76,0.668266347,1666,11,1,0
0,41,0.408475574,1698,4,0,1
0,60,0.04587156,2833,2,0,0
0,63,0.361938937,16441,12,1,1
0,52,0.319174181,4213,7,0,0
0,58,0.601017347,7666,5,3,0
0,56,0.712194056,4575,16,1,0
0,33,0.312937413,5000,4,1,0
0,64,0.011195522,2500,4,0,0
0,33,0.043739065,4000,9,0,0
0,40,64,NA,13,0,0
0,56,0.461357487,8500,15,2,4
0,60,0.711075819,17000,11,3,0
0,27,0.260763359,3274,3,0,2
0,41,0.336295473,3600,5,1,0
0,48,0.376905611,3082,4,1,0
0,69,1653,NA,20,2,0
0,39,0.735131912,6708,13,2,2
0,36,0.23072116,8000,28,0,0
0,34,0.870354941,6000,8,1,0
0,50,3074,NA,15,1,0
0,79,0.812870978,3200,8,2,0
0,54,0.020708083,4490,4,0,0
0,36,0.650674663,2000,8,0,0
1,39,0.691279186,5010,14,2,2
0,35,0.453692681,21000,7,2,0
0,38,0.428628549,2500,8,0,0
0,52,1321,NA,9,1,2
0,24,0.010079194,4166,3,0,0
0,76,0.044093178,1201,8,0,0
0,41,1290,NA,6,0,2
0,74,0.080495356,1291,6,0,0
0,47,0.315173697,16666,12,2,3
0,57,0.335066493,10000,11,2,3
0,63,0.052672049,2600,3,0,1
0,62,17,NA,4,0,0
0,39,0.285324697,5866,6,1,1
0,51,0.34037277,12500,21,2,1
0,60,0.365787835,9633,12,1,1
0,68,2284,NA,6,2,0
0,63,0.254313231,19416,18,2,1
0,55,0.369192131,7166,7,3,1
